TITLE,TYPE,GENRES,THEMES,SYNOPSIS,MAIN_PICTURE
Abarenbou Rikishi!! Matsutarou,anime,['Sports'],['Combat Sports'],"Matsutarou Sakaguchi is a giant roughneck man with strength far beyond ordinary people. He never uttered words like ""work hard,"" ""strive,"" and ""dream"" like the typical shounen manga protagonist. However, he is stronger than anyone and peerless in sumo wrestling. His greatest weakness is his own carefree personality. He grows into a full-fledged sumo wrestler.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/7/65897l.jpg
Abciee Shuugyou Nikki,anime,['Comedy'],['Workplace'],"ABCiee is a bit klutzy and ditsy, but he's full of spunk and he starts his dream job at a TV station! This is a work comedy filled with all kinds of hijinks! ""I never knew it was so hard working at a TV station, ciee!"" Despite having to face the unknown rules of the TV business, unique coworkers, and guest stars who have very particular quirks, ABCiee takes them head on with his positivity. Work, love, family, whatever goes!! Please watch over ABCiee as he takes on the TV business.

(Source: Crunchyroll)",https://cdn.myanimelist.net/images/anime/1548/110221l.jpg
ABC-Mart Grand Stage CMs,anime,['Avant Garde'],['Music'],Commercials for ABC-MART GRAND STAGE.,https://cdn.myanimelist.net/images/anime/1199/135987l.jpg
Abenobashi Mahouâ˜†Shoutengai,anime,"['Award Winning', 'Comedy', 'Ecchi', 'Fantasy']","['Isekai', 'Parody']","Satoshi ""Sasshi"" Imamiya believes his life is in shambles, as only a 12-year-old can. Having lost his card collection, his childish dilemmas worsen when he learns that his childhood friend, Arumi Asahina, will be moving away.

Suddenly, their issues are dashed aside for the surreal, and they find themselves transported away through bizarre worlds of science fiction, magic, and war. Any attempt to escape only catapults them into another alien land. Soon, the two come to a realization: every world is just a reimagining of their hometown. But there are two unfamiliar facesâ€”the voluptuous Mune-mune and the elusive blue-haired Eutusâ€”and they just might be the key to escaping their predicament.

Abenobashi Mahouâ˜†Shoutengai follows Sasshi and Arumi's comedic exploits as they desperately attempt to return home. However, when the pair unravel a tale spanning generations, they begin to wonder if the cause of their situation is more personal than they thought. Is returning home truly what they desire?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1350/113655l.jpg
Abeojiuibang,anime,['Avant Garde'],['Psychological'],"She was abused by her father during childhood. Since he left, the pain and anger had begun to fade. One day, unexpectedly, she was struck by a revelation about her father's life that cast her feelings about him into confusion.

(Source: IMDb)",https://cdn.myanimelist.net/images/anime/1261/122641l.jpg
Absolute Duo,anime,"['Action', 'Ecchi', 'Fantasy', 'Romance']","['Harem', 'School']","Individuals who can materialize weapons from their soul are called ""Blazers,"" and they attend Kouryou Academy High School in order to harness their abilities. Each student is required to partner with another, in the hopes that one day, the pair can attain the power of Absolute Duo.

Tooru Kokonoe hopes to attend this academy in order to gain power after his sister and friends were slain by a mysterious man. However, at the opening ceremony, he is forced to duel against the person sitting next to him, with the loser being expelled. As Tooru prepares to give the match his all, it is not a weapon that manifests from his soul, but a shield, an irregularity which catches the attention of a foreign student named Julie Sigtuna.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/4/68839l.jpg
ACCA: 13-ku Kansatsu-ka,anime,"['Drama', 'Fantasy', 'Mystery']","['Adult Cast', 'Detective']","ACCAâ€”a national body of the kingdom of Dowa that provides public services to the citizens of the countryâ€”was established as part of the peace settlement between the king of Dowa and the 13 states of the country during a revolt. One hundred years later, Dowa is in a period of unprecedented peace, due in part to the ACCA system. However, rumors of a coup d'Ã©tat start to surface. Jean Otus, the second-in-command of the inspection department of ACCA, is charged with inspecting all 13 state branches. What will he discover as he performs his audit?

Intriguing and mysterious, ACCA: 13-ku Kansatsu-ka is a politically-themed mystery that reveals a world of diverse cultures and lifestyles, with intricate connections between its characters, as the truth of the coup d'Ã©tat slowly unfolds.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/3/83776l.jpg
Accel World,anime,"['Action', 'Romance', 'Sci-Fi']","['School', 'Video Game']","Haruyuki Arita is an overweight, bullied middle schooler who finds solace in playing online games. But his life takes a drastic turn one day, when he finds that all his high scores have been topped by Kuroyukihime, the popular vice president of the student council. She then invites him to the student lounge and introduces him to ""Brain Burst,"" a program which allows the users to accelerate their brain waves to the point where time seems to stop. Brain Burst also functions as an augmented reality fighting game, and in order to get more points to accelerate, users must win duels against other players. However, if a user loses all their points, they will also lose access to Brain Burst forever.

Kuroyukihime explains that she chose to show Haruyuki the program because she needs his help. She wants to meet the creator of Brain Burst and uncover the reason of why it was created, but that's easier said than done; to do so, she must defeat the ""Six Kings of Pure Color,"" powerful faction leaders within the game, and reach level 10, the highest level attainable. After the girl helps Haruyuki overcome the bullies that torment him, he vows to help her realize her goal, and so begins the duo's fight to reach the top.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1002/135430l.jpg
Accel World: InfiniteâˆžBurst,anime,"['Action', 'Romance', 'Sci-Fi']","['School', 'Video Game']","Some time after the events involving Burst Linker Dusk Taker, Kuroyukihime recalls recruiting Haruyuki Arita to the ""Brain Burst"" programâ€”an application that allows players to accelerate their cognitive functions until time seems to stop. Since his arrival, Haruyuki has risen to fame among the other Burst Linkers and has been helping Kuroyukihime achieve her goal of reaching the highest level in the game.

During a territorial battle with their legion, Nega Nebulus, Haruyuki and his friends are kicked out of the program after a destructive storm in-game. All over Tokyo, security cameras are malfunctioning, which Kuroyukihime deduces is related to the Brain Burst glitch. Determined to fix the problem, Nega Nebulus must recruit the other legions to find the source of the issue and restore the acceleration ability.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/5/87145l.jpg
Acchi Kocchi,anime,"['Comedy', 'Romance']","['Gag Humor', 'School']","Feelings may come and go, but true love always remains in the heart. Tsumiki Miniwa is in love with her best friend, Io Otonashi. For her, confessing is nearly impossible; but to her friends, they seem to be the perfect match. Cute and petite, Tsumiki comes off more as a friend, and Io's attitude toward her is friendlier than toward others. Despite the constant teasing and obvious hints that his friends have been dropping, Io always seems to miss the signs. 

Throughout her everyday school life, Tsumiki spends time with her friends and Io. Will she finally muster enough courage to confess her true feelings?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/5/46489l.jpg
